TrialNumber,Accumulation size Dry Gas,Accumulation size Dry Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size NGL,Accumulation size NGL,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Average gross pay,Average net pay,Condensate yield,Depth of crest,Dry gas shrinkage factor,Expansion factor gas (1/Bg),Fraction HC gas losses / fuel use,Gas saturation,Gross rock volume - result,HC bearing gross rock volume,HC pore volume,HC water contact,HC water contact - result,Inplace.Accumulation size Assoc. Gas,Inplace.Accumulation size Condensate,Inplace.Accumulation size Gas,Inplace.Accumulation size HC liquid,Inplace.Accumulation size Non Assoc. Gas,Inplace.Accumulation size Oil,Inplace.Accumulation size Total Resources,Inplace.Yield factor Assoc. Gas,Inplace.Yield factor Condensate,Inplace.Yield factor Non Assoc. Gas,Inplace.Yield factor Oil,Net rock volume - result,Net/gross ratio,NGL yield from non-assoc. gas,Non Assoc. Gas gross rock volume,Non Assoc. Gas pore volume,Porosity,Productive area,Recoverable.Accumulation size Assoc. Gas,Recoverable.Accumulation size Condensate,Recoverable.Accumulation size Gas,Recoverable.Accumulation size HC liquid,Recoverable.Accumulation size Non Assoc. Gas,Recoverable.Accumulation size Oil,Recoverable.Accumulation size Total Resources,Recoverable.Yield factor Assoc. Gas,Recoverable.Yield factor Condensate,Recoverable.Yield factor Non Assoc. Gas,Recoverable.Yield factor Oil,Recovery factor Condensate,Recovery factor Non Assoc. Gas,Reservoir thickness,Spill point depth,Wet gas shrinkage factor
9169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0825,3549.42,0.94,252.991,0,0.744712,168.927,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.835125,0,0,0,0.14641,0,0,0,0,0,0,0,0,0,0,0,0,0.492192,0.662296,26.1967,3695,1
4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3593,3503.53,0.94,250.997,0,0.778036,163.264,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.778898,0,0,0,0.15886,0,0,0,0,0,0,0,0,0,0,0,0,0.501984,0.70445,25.3073,3695,1
7328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5465,3509.38,0.94,265.426,0,0.727466,164.315,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.817353,0,0,0,0.151267,0,0,0,0,0,0,0,0,0,0,0,0,0.530355,0.761852,25.4724,3695,1
9676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3173,3550.95,0.94,261.541,0,0.768745,164.961,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.736438,0,0,0,0.145087,0,0,0,0,0,0,0,0,0,0,0,0,0.533298,0.755151,25.5738,3695,1
4657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8768,3476.23,0.94,253.144,0,0.809744,181.568,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.719003,0,0,0,0.165898,0,0,0,0,0,0,0,0,0,0,0,0,0.548974,0.710078,28.1846,3695,1
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3223,3501.62,0.94,255.454,0,0.835857,173.303,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.688552,0,0,0,0.170789,0,0,0,0,0,0,0,0,0,0,0,0,0.569929,0.731307,26.8843,3695,1
6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3205,3480.29,0.94,254.502,0,0.787,166.018,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.712051,0,0,0,0.168607,0,0,0,0,0,0,0,0,0,0,0,0,0.536323,0.669493,25.7398,3695,1
9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6885,3552.48,0.94,255.929,0,0.784514,178.239,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.775567,0,0,0,0.155514,0,0,0,0,0,0,0,0,0,0,0,0,0.519628,0.686839,27.6607,3695,1
7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5049,3456.49,0.94,261.047,0,0.751399,175.953,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.759947,0,0,0,0.145356,0,0,0,0,0,0,0,0,0,0,0,0,0.533074,0.750717,27.301,3695,1
3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6211,3430.28,0.94,256.324,0,0.791665,172.18,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.85713,0,0,0,0.169005,0,0,0,0,0,0,0,0,0,0,0,0,0.529089,0.724135,26.7078,3695,1
9143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.664,3578.64,0.94,259.977,0,0.761103,166.763,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.826591,0,0,0,0.142876,0,0,0,0,0,0,0,0,0,0,0,0,0.597298,0.736481,25.8568,3695,1
9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4376,3583.88,0.94,255.678,0,0.774296,169.977,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.772994,0,0,0,0.170211,0,0,0,0,0,0,0,0,0,0,0,0,0.57132,0.77061,26.3616,3695,1
3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9447,3522.38,0.94,263.08,0,0.887164,162.425,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.762305,0,0,0,0.161719,0,0,0,0,0,0,0,0,0,0,0,0,0.532007,0.719111,25.1759,3695,1
