TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
2632,0,0,0,3166.59,0,0
4965,0,0,0,3166.59,0,0
1033,0,0,0,3166.59,0,0
389,0,0,0,3166.59,0,0
7373,0,0,0,3166.59,0,0
1562,0,0,0,3166.59,0,0
4160,0,0,0,3166.59,0,0
8166,0,0,0,3166.59,0,0
9057,0,0,0,3166.59,0,0
2274,0,0,0,3166.59,0,0
9456,0,0,0,3166.59,0,0
3284,0,0,0,3166.59,0,0
1702,0,0,0,3166.59,0,0
7846,0,0,0,3166.59,0,0
6615,0,0,0,3166.59,0,0
3746,0,0,0,3166.59,0,0
3823,0,0,0,3166.59,0,0
8715,0,0,0,3166.59,0,0
4518,0,0,0,3166.59,0,0
640,0,0,0,3166.59,0,0
8436,0,0,0,3166.59,0,0
2988,0,0,0,3166.59,0,0
6273,0,0,0,3166.59,0,0
9884,0,0,0,3166.59,0,0
7738,0,0,0,3166.59,0,0
8508,0,0,0,3166.59,0,0
8894,0,0,0,3166.59,0,0
1881,0,0,0,3166.59,0,0
8802,0,0,0,3166.59,0,0
9678,0,0,0,3166.59,0,0
119,0,0,0,3166.59,0,0
2453,0,0,0,3166.59,0,0
971,0,0,0,3166.59,0,0
2291,0,0,0,3166.59,0,0
5070,0,0,0,3166.59,0,0
2077,0,0,0,3166.59,0,0
6693,0,0,0,3166.59,0,0
5550,0,0,0,3166.59,0,0
7848,0,0,0,3166.59,0,0
1963,0,0,0,3166.59,0,0
4554,0,0,0,3166.59,0,0
8418,0,0,0,3166.59,0,0
1038,0,0,0,3166.59,0,0
2475,0,0,0,3166.59,0,0
1741,0,0,0,3166.59,0,0
2924,0,0,0,3166.59,0,0
4168,0,0,0,3166.59,0,0
4046,0,0,0,3166.59,0,0
3132,0,0,0,3166.59,0,0
2470,0,0,0,3166.59,0,0
4360,0,0,0,3166.59,0,0
2678,0,0,0,3166.59,0,0
1111,0,0,0,3166.59,0,0
5663,0,0,0,3166.59,0,0
5006,0,0,0,3166.59,0,0
6409,0,0,0,3166.59,0,0
5895,0,0,0,3166.59,0,0
299,0,0,0,3166.59,0,0
1031,0,0,0,3166.59,0,0
1418,0,0,0,3166.59,0,0
4843,0,0,0,3166.59,0,0
7073,0,0,0,3166.59,0,0
6908,0,0,0,3166.59,0,0
1462,0,0,0,3166.59,0,0
33,0,0,0,3166.59,0,0
2457,0,0,0,3166.59,0,0
292,0,0,0,3166.59,0,0
8000,0,0,0,3166.59,0,0
1163,0,0,0,3166.59,0,0
3624,0,0,0,3166.59,0,0
8422,0,0,0,3166.59,0,0
7417,0,0,0,3166.59,0,0
5146,0,0,0,3166.59,0,0
1277,0,0,0,3166.59,0,0
7513,0,0,0,3166.59,0,0
8730,0,0,0,3166.59,0,0
966,0,0,0,3166.59,0,0
8294,0,0,0,3166.59,0,0
2971,0,0,0,3166.59,0,0
8562,0,0,0,3166.59,0,0
3705,0,0,0,3166.59,0,0
4111,0,0,0,3166.59,0,0
4935,0,0,0,3166.59,0,0
3623,0,0,0,3166.59,0,0
5667,0,0,0,3166.59,0,0
7222,0,0,0,3166.59,0,0
9240,0,0,0,3166.59,0,0
9806,0,0,0,3166.59,0,0
7437,0,0,0,3166.59,0,0
2233,0,0,0,3166.59,0,0
719,0,0,0,3166.59,0,0
8764,23.3329,23.1702,2.2286,3360.43,0.99303,2.43673
3505,0,0,0,3166.59,0,0
7253,0,0,0,3166.59,0,0
8686,0,0,0,3166.59,0,0
1814,0,0,0,3166.59,0,0
9239,0,0,0,3166.59,0,0
9990,0,0,0,3166.59,0,0
6484,0,0,0,3166.59,0,0
5454,0,0,0,3166.59,0,0
8784,0,0,0,3166.59,0,0
5388,0,0,0,3166.59,0,0
7309,0,0,0,3166.59,0,0
8210,0,0,0,3166.59,0,0
5539,0,0,0,3166.59,0,0
354,0,0,0,3166.59,0,0
1215,0,0,0,3166.59,0,0
2352,0,0,0,3166.59,0,0
5014,0,0,0,3166.59,0,0
1595,0,0,0,3166.59,0,0
8925,0,0,0,3166.59,0,0
8054,0,0,0,3166.59,0,0
2606,0,0,0,3166.59,0,0
4837,0,0,0,3166.59,0,0
752,0,0,0,3166.59,0,0
8951,0,0,0,3166.59,0,0
9489,0,0,0,3166.59,0,0
9329,0,0,0,3166.59,0,0
247,0,0,0,3166.59,0,0
9071,0,0,0,3166.59,0,0
7873,24.6295,35.8244,2.84668,3419.84,1.45453,3.24929
6945,0,0,0,3166.59,0,0
1170,0,0,0,3166.59,0,0
7009,0,0,0,3166.59,0,0
4972,0,0,0,3166.59,0,0
811,0,0,0,3166.59,0,0
2648,0,0,0,3166.59,0,0
2552,0,0,0,3166.59,0,0
5193,0,0,0,3166.59,0,0
5313,0,0,0,3166.59,0,0
4571,0,0,0,3166.59,0,0
4822,0,0,0,3166.59,0,0
9933,0,0,0,3166.59,0,0
9951,0,0,0,3166.59,0,0
9672,0,0,0,3166.59,0,0
807,0,0,0,3166.59,0,0
9930,0,0,0,3166.59,0,0
9520,0,0,0,3166.59,0,0
4525,25.4133,49.4747,4.46005,3467.88,1.9468,4.79943
8835,0,0,0,3166.59,0,0
1559,0,0,0,3166.59,0,0
5600,0,0,0,3166.59,0,0
412,0,0,0,3166.59,0,0
4246,0,0,0,3166.59,0,0
3404,0,0,0,3166.59,0,0
1516,0,0,0,3166.59,0,0
2053,0,0,0,3166.59,0,0
2759,0,0,0,3166.59,0,0
8359,0,0,0,3166.59,0,0
1299,0,0,0,3166.59,0,0
753,0,0,0,3166.59,0,0
7408,0,0,0,3166.59,0,0
2439,0,0,0,3166.59,0,0
9732,0,0,0,3166.59,0,0
7841,0,0,0,3166.59,0,0
7511,0,0,0,3166.59,0,0
730,0,0,0,3166.59,0,0
8840,0,0,0,3166.59,0,0
8163,0,0,0,3166.59,0,0
6777,0,0,0,3166.59,0,0
