TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
2632,15.1973,27.5615,1.61363,1504.87,1.81358,2.22203
4965,12.7945,19.4429,1.93276,1500.0,1.51964,2.75459
1033,13.5402,21.8135,1.71871,1501.52,1.61102,3.04189
389,14.9652,26.7167,2.24813,1504.4099999999999,1.78525,3.07583
7373,15.6796,29.3591,2.56315,1505.85,1.87244,3.22566
1562,15.4725,28.5804,2.30641,1505.4299999999998,1.84717,3.38491
4160,13.9097,23.0379,2.48821,1502.27,1.65625,3.65478
8166,13.5612,21.8823,2.03426,1501.56,1.6136,3.70842
9057,13.4911,21.6533,2.17119,1501.42,1.60501,3.8645
2274,13.0446,20.2231,2.28826,1500.5099999999998,1.55031,3.87764
9456,14.2577,24.2211,2.50383,1502.9699999999998,1.69881,3.8965
3284,14.5786,25.3379,2.17079,1503.62,1.73802,4.0716
1702,14.076,23.5997,2.52177,1502.6,1.67659,4.19166
7846,13.914,23.0524,2.52944,1502.2799999999997,1.65678,4.23251
6615,14.0461,23.4983,2.18707,1502.54,1.67294,4.33766
3746,18.2497,40.8857,4.18524,1511.46,2.24034,4.48443
3823,13.1213,20.4654,2.20613,1500.67,1.55971,4.54813
8715,16.8657,34.3812,3.28298,1508.42,2.03853,4.56434
4518,13.3117,21.073,2.34601,1501.0499999999997,1.58304,4.58411
640,14.4643,24.9372,2.39976,1503.3899999999999,1.72406,4.60394
8436,18.1767,40.5299,3.47011,1511.2999999999997,2.22978,4.64141
2988,12.8739,19.6889,2.33881,1500.1599999999999,1.52937,4.64734
6273,16.5922,33.1542,3.00701,1507.81,1.99818,4.78053
9884,14.3266,24.4589,2.65526,1503.1100000000001,1.70723,5.00636
7738,15.6401,29.2098,3.68971,1505.77,1.86762,5.02005
8508,14.4613,24.9267,2.52356,1503.38,1.72369,5.07797
8894,18.8746,43.9845,3.8388,1512.8199999999997,2.33035,5.08523
1881,14.5745,25.3235,2.74509,1503.6100000000001,1.73752,5.10382
